USDA,Department of Agriculture,http://www.usda.gov
DOC,Department of Commerce,http://www.commerce.gov
DOD,Department of Defense,http://www.defense.gov/
ED,Department of Education,http://www.ed.gov
DOE,Department of Energy,http://www.energy.gov
EPA,Environmental Protection Agency,http://www.epa.gov
HHS,Department of Health and Human Services,http://www.hhs.gov
DHS,Department of Homeland Security,http://www.dhs.gov
HUD,Department of Housing and Urban Development,http://www.hud.gov
DOI,Department of the Interior,http://www.doi.gov
DOJ,Department of Justice,http://www.justice.gov
DOL,Department of Labor,http://www.dol.gov
DOSUSAID,Department of State and USAID,http://www.state.gov http://www.usaid.gov
DOT,Department of Transportation,http://www.dot.gov
TREAS,Department of the Treasury,http://www.treasury.gov
VA,Department of Veterans Affairs,http://www.va.gov
GSA,General Services Administration,http://www.gsa.gov
NASA,National Aeronautics and Space Administration,http://www.nasa.gov
NSF,National Science Foundation,http://www.nsf.gov
OPM,Office of Personnel Management,http://www.opm.gov
SBA,Small Business Administration,http://www.sba.gov
SSA,Social Security Administration,http://www.ssa.gov
