USDA,Department of Agriculture,http://www.usda.gov,,"Founded by President Abraham Lincoln in 1862, when more than half of the Nation's population lived and worked on farms, USDA's role has evolved with the economy.  Today, the country looks to rural America to not only provide food and fiber, but also for crucial emerging economic opportunities in renewable energy, broadband and recreation.  People in rural areas operate in a technologically advanced, rapidly diversifying, and highly competitive business environment driven by increasingly sophisticated consumers.  To assist the country in addressing today's challenges, USDA will: Assist rural communities to create prosperity so they are self-sustaining, re-populating, and economically thriving; Ensure our national forests and private working lands are conserved, restored, and made more resilient to climate change, while enhancing our water resources; Help America promote sustainable agricultural production and biotechnology exports as America works to increase food security; Ensure that all of America's children have access to safe, nutritious, and balanced meals. "
DOC,Department of Commerce,http://www.commerce.gov,,"The Department accomplishes its mission through direct assistance to businesses and communities, targeted investment in world-class research, science, technology, and more. The Secretary of Commerce leads the Department and its 12 bureaus with a budget of about $8.0 billion and nearly 47,000 employees worldwide.  The Department of Commerce helps American businesses drive economic growth and job creation in a number of critical areas:   	Critical programs at the National Institute of Standards and Technology (NIST) support innovation and cutting-edge manufacturers which in turn create good-paying jobs.    	Through protecting the intellectual property that sustains innovation, the U.S. Patent and Trademark Office (USPTO) contributes directly to strengthening America’s leadership in manufacturing. USPTO is currently implementing patent reform legislation that will help modernize the U.S. patent system. 	The Economic Development Administration (EDA) invests in competitive, job-creating, advanced manufacturing projects and regional innovation clusters. 	The Minority Business Development Agency (MBDA) supports the competitiveness of minority-owned firms. 	By connecting U.S. businesses with opportunities abroad, the International Trade Administration (ITA) advances the goals of the National Export Initiative, works to remove trade barriers and promotes new business investment in the United States from foreign and domestic companies. 	The Bureau of Industry and Security (BIS) improves our economic security through efforts to reform our outdated export control laws. 	Critical to our competitiveness, the National Telecommunications and Information Administration (NTIA) expands broadband Internet access and ensures the Internet remains an engine for innovation and economic growth. 	The Economics and Statistics Administration (ESA), including the Census Bureau and Bureau of Economic Analysis (BEA), provide the economic and demographic data to evaluate growth, understand markets, and help American businesses make decisions for the future. 	By providing data that supports marine commerce, sustainable use of ocean resources, and accurate weather and climate forecasting, the National Oceanic and Atmospheric Administration's (NOAA) supports sustainable communities and economies.   The Department issued an updated five-year strategic plan in June 2011 which outlines its strategic goals and objectives as well as the programs, strategies, and metrics used to achieve them and track their attainment.  The strategic plan is implemented through annual performance plans, which are integral elements of the Department's annual budget proposals.  Progress is documented through annual Performance and Accountability Reports.  The Department has also identified a limited number of priority goals that are a particular focus over the near-term.  Priority goals for FY 2012-2013 are outlined in a February 2012 addendum to the strategic plan (Appendix B).  The full set of the Department's planning, performance, and budget information is available at: http://www.osec.doc.gov/bmi/budget/ "
DOD,Department of Defense,http://www.defense.gov/,,"The  Department of Defense (DoD)  is  one  of  the  nation’s  largest  employers,  with  approximately  1.4  million  Active Component,  836,000  Selected  Reserve  and  245,000  Individual  Ready  Reserve  forces;  and 735,000 appropriated and 126,000 non-appropriated civilian employees. Our military service members and civilians operate in every time zone and in every climate, and more than 450,000 of our employees serve overseas.  As one of the nation’s largest health-care providers, the DoD cares for almost 9.5 million beneficiaries. DoD executes a multibillion dollar global supply chain, manages a five million item inventory, and operates with a $500 billion dollar budget. The DoD’s real property infrastructure includes over 561,975 facilities (buildings and structures) located on 4,800 sites worldwide. These sites represent nearly 25 million acres; sized from the training ranges of nearly 3 million acres, such as Nellis Air Force Base, to single weather towers or navigational aids isolated on sites of less than one one-hundredth (0.01) of an acre. To protect the security of the United States, the Department operates approximately 5,285 aircraft and 293 ships.  The Department engages in Warfighting, Humanitarian Aid, Peacekeeping, Disaster Relief and Homeland Security, while simultaneously performing functions necessary to effectively and efficiently support our Soldiers, Sailors, Airmen and Marines and their families.  The Department has five overarching Strategic Goals, as reflected in the DoD's 2015-2018 Agency Strategic Plan:  1.  Defeat our Adversaries, Deter War, and Defend the Nation.  2.  Sustain a Ready Force to Meet Mission Needs.  3.  Strengthen and Enhance the Health and Effectiveness of the Total Workforce.  4.  Achieve Dominant Capabilities through Innovation and Technical Excellence.  5.  Reform and Reshape the Defense Institution. "
ED,Department of Education,http://www.ed.gov,,"The Department operates programs that touch on every area and level of education.  The Department's elementary and secondary programs annually serve nearly 14,000 school districts and approximately 55 million students attending some 99,000 public schools and 33,000 private schools.  Department programs also provide grant, loan, and work-study assistance to more than 15 million postsecondary students.  In the past three years, the Department has worked to successfully streamline and consolidate programs from kindergarten through college to save taxpayer dollars, improve efficiency, reduce administrative expenses, and better serve states, schools, students, and families.  The U.S. Department of Education Strategic Plan for Fiscal Years 2014–2018 provides a framework for the key policy and operational priorities for the agency, in alignment with the administration’s vision for education and in collaboration with Congress, state and local partners, and other education stakeholders. From its mission and core values, the plan was developed by building upon and updating the FY 2011–14 Strategic Plan. It comprises six foundational strategic goals and six priority goals. The updated plan for FY 2014–18 includes the same six strategic goals as the Department’s previous plan. These six goals will help to align the administration’s annual budget requests and the Department’s legislative agenda. The Department’s FY 2014–18 Strategic Plan stands on a foundation of six strategic goals:   	Goal 1: Postsecondary Education, Career and Technical Education, and Adult Education. 	Increase college access, affordability, quality, and completion by improving postsecondary education and lifelong learning opportunities for youths and adults. 	Goal 2: Elementary and Secondary Education. 	Improve the elementary and secondary education system’s ability to consistently deliver excellent instruction aligned with rigorous academic standards while providing effective support services to close achievement and opportunity gaps, and ensure all students graduate high school college- and career-ready. 	Goal 3: Early Learning. 	Improve the health, social-emotional, and cognitive outcomes for all children from birth through 3rd grade, so that all children, particularly those with high needs, are on track for graduating from high school college- and career-ready. 	Goal 4: Equity. 	Increase educational opportunities for underserved students and reduce discrimination so that all students are well-positioned to succeed. 	Goal 5: Continuous Improvement of the U.S. Education System. 	Enhance the education system’s ability to continuously improve through better and more widespread use of data, research and evaluation, evidence, transparency, innovation, and technology. 	Goal 6: U.S. Department of Education Capacity. 	Improve the organizational capacities of the Department to implement the Strategic Plan.   To view information on all Department programs, please visit www.ed.gov. "
DOE,Department of Energy,http://www.energy.gov,,"The Department of Energy (DOE) is responsible for advancing the energy, environmental, and nuclear security of the United States; promoting scientific and technological innovation in support of that mission; sponsoring basic research in the physical sciences; and ensuring the environmental cleanup of the nation’s nuclear weapons complex.  The Science and Energy, Nuclear Security, and Management and Performance strategic goals in the Strategic Plan are aligned with the DOE organizational structure adopted in August 2013. Three Under Secretaries manage the core functions that carry out the DOE mission with significant cross-cutting work spanning across the enterprise. The DOE enterprise is comprised of approximately 14,000 federal employees and over 90,000 management and operating contractor and other contractor employees at the Department’s headquarters in Washington, D.C., and at 85 field locations. DOE operates a nationwide system of 17 national laboratories that provides world-class scientific, technological, and engineering capabilities, including the operation of national scientific user facilities used by over 29,000 researchers from academia, government, and industry. The range, scale and excellence of science and technology (S&T) at the DOE laboratories provide strategic assets to accomplish DOE missions, support government responses to unforeseen domestic and international emergencies, and provide technical capabilities to help shape the global S&T agenda.  Science and Energy – DOE leads the nation in the transformational research, development, demonstration, and deployment of an extensive range of clean energy and efficiency technologies, supporting the President’s Climate Action Plan and an “all of the above” energy strategy. DOE identifies and promotes advances in fundamental and applied sciences; translates cutting-edge inventions into technological innovations; and accelerates transformational technological advances in energy areas that industry by itself is not likely to undertake because of technical or financial risk. DOE also leads national efforts to develop technologies to modernize the electricity grid, enhance the security and resilience of energy infrastructure, and expedite recovery from energy supply disruptions. DOE also conducts robust, integrated policy analysis and regional engagement to support the nation’s energy agenda.  DOE is the largest federal sponsor of basic research in the physical sciences. DOE world-leading research in the physical, chemical, biological, environmental, and computational sciences contributes fundamental scientific discoveries and technological solutions that support the nation’s primacy in science and innovation.  Nuclear Security – DOE enhances the security and safety of the nation through its national security endeavors: maintaining a safe, secure, and effective nuclear weapons stockpile in the absence of nuclear testing and managing the research, development, and production activities and associated infrastructure needed to meet national nuclear security requirements; accelerating and expanding efforts to reduce the global threat posed by nuclear weapons, nuclear proliferation and unsecured or excess nuclear materials; and, providing safe and effective nuclear propulsion for the U.S. Navy. As a result of the expertise developed to support these nuclear security missions, DOE laboratories also serve as strategic assets in support of broader national security missions.  Management and Performance – DOE leads the largest cleanup effort in the world to remediate the environmental legacy of over six decades of nuclear weapons and nuclear research, development, and production. As DOE carries out its mission, it will strengthen effective and cost-efficient management, support an engaged workforce, and provide a modern, secure physical and information technology infrastructure. DOE remains committed to maintaining a safe and secure work environment for all personnel and to ensuring that its operations preserve the health, safety, and security of the surrounding communities.    "
EPA,Environmental Protection Agency,http://www.epa.gov,,"EPA works to ensure that:   	All Americans are protected from significant risks to human health and the environment where they live, learn and work; 	National efforts to reduce environmental risk are based on the best available scientific information; 	Federal laws protecting human health and the environment are enforced fairly and effectively; 	Environmental protection is an integral consideration in U.S. policies concerning natural resources, human health, economic growth, energy, transportation, agriculture, industry, and international trade, and these factors are similarly considered in establishing environmental policy; 	All parts of society - communities, individuals, businesses, and state, local and tribal governments - have access to accurate information sufficient to effectively participate in managing human health and environmental risks; 	Environmental protection contributes to making our communities and ecosystems diverse, sustainable and economically productive; and 	The U.S. plays a leadership role in working with other nations to protect the global environment.      EPA’s FY 2014-2018 Strategic Plan provides a blueprint for advancing the Administrator's themes and the Agency’s mission.  Issued in April 2014, the Plan identifies the measurable environmental and human health outcomes the public can expect over the next five years and describes how we intend to achieve those results.  It sets forth five strategic goals for achieving these outcomes and four cross-agency strategies for changing the way the Agency works to achieve its results.   Goal 1: Addressing Climate Change and Improving Air Quality  Goal 2: Protecting America’s Waters  Goal 3: Cleaning Up Communities and Advancing Sustainable Development  Goal 4: Ensuring the Safety of Chemicals and Preventing Pollution  Goal 5: Protecting Human Health and the Environment by Enforcing  Laws and Assuring Compliance  Strategy 1: Working Toward a Sustainable Future  Strategy 2: Working to Make a Visible Difference in Communities  Strategy 3: Launching a New Era of State, Tribal, Local, and International Partnerships  Strategy 4: Embracing EPA as a High-Performing Organization  The cross-agency strategy action plans provide more specific information on how EPA is implementing these strategies.  EPA’s FY 2014-2018 Strategic Plan also identifies the Agency’s FY 2014-2015 priority goals and the Agency has now established FY 2016-2017 priority goals. EPA’s priority goals advance the strategic goals in the Strategic Plan and are specific, measurable, and achievable within 18 to 24 months.  These goals serve as near-term indicators of progress in key programmatic areas and have been established by the Administration as a central focus of its performance management framework. "
HHS,Department of Health and Human Services,http://www.hhs.gov,,"The Department of Health and Human Services (HHS) is the United States government's principal agency for protecting the health of all Americans and providing essential human services, especially for those who are least able to help themselves.  HHS represents almost a quarter of all federal outlays and administers more grant dollars than all other federal agencies combined. HHS’s Medicare program is the nation’s largest health insurer, handling more than 1 billion claims per year. Medicare and Medicaid together provide health care insurance for one in four Americans.  HHS works closely with state and local governments, and many HHS-funded services are provided at the local level by state or county agencies, or through private sector grantees. The Department supports more than 300 programs, covering a wide spectrum of activities administered by 11 operating divisions. In addition to delivering services, HHS programs support the collection of health data and provide for the equitable treatment in health care and human service settings. The Department’s activities include:   	Health, biomedical, and social science research; 	Health promotion and community-based health programs; 	Disease prevention, including immunization services; 	Assuring food and drug safety; 	Health insurance for Americans, including elderly and disabled Americans, individuals with pre-existing conditions, low-income people and others through Medicare, Medicaid, the Children's Health Insurance Program (CHIP), Health Insurance Exchanges, Pre-Existing Condition Insurance Plans and other programs; 	Health information technology; 	Public health infrastructure; 	Financial assistance and services for low-income families; 	Maternal and infant health programs; 	Early childhood development programs; 	Child abuse and domestic violence prevention; 	Substance abuse and mental health services; 	Services for older Americans, including home-delivered meals; 	Comprehensive health services for Native Americans; and 	Medical preparedness for emergencies, including potential terrorism.   With the passage of the Affordable Care Act, HHS has been moving forward to implement the law and help improve the health of millions of Americans. The law puts in place comprehensive reforms that protect Americans from the worst insurance company abuses, makes health insurance more affordable, provides better access to care and coverage, and strengthens Medicare.  For example, HHS is working with states to establish new transparent and competitive insurance marketplaces called Affordable Insurance Exchanges where, beginning in 2014, individuals and small businesses can compare their coverage options and buy affordable health coverage. Additionally, many important benefits and protections have already gone into effect, helping millions get the coverage they need and putting Americans back in charge of their health care. Because of the law:   	Young adults can stay on their parent’s plan until age 26, 	Health plans cannot limit or deny benefits or deny coverage for a child younger than age 19 because of a pre-existing condition, 	A health insurance policy cannot be canceled because of a simple mistake on an application, and lifetime dollar limits on most benefits are banned for all new health insurance plans, and 	New standards for medical loss ratio and rate review ensure consumers get value for their premium dollars and that proposed rate increases are based on reasonable cost assumptions and solid evidence.   Transforming the health care system, which includes implementing the Affordable Care Act, is a cornerstone of the HHS Strategic Plan. The current Strategic Plan outlines HHS’s main objectives and performance measures to monitor our progress. Additional metrics are available in the HHS Online Performance Appendix.  To ensure public access and transparency, HHS launched www.HealthCare.gov on July 1, 2010. The site has been visited more than 10 million times since it launched. The site includes extensive, easy to understand information about the health care law, including new rights and protections, coverage options, and how the Affordable Care Act will help consumers.  The website is the first of its kind to bring information and links to health insurance plans and other coverage options into one place, making it easy for consumers to learn about their insurance choices. And on November 18, 2011, HHS added a unique tool to allow small businesses to research and compare locally available insurance plans in an unbiased manner. As a result, small businesses now have easy access to plan data, such as out-of-pocket limits, average cost per enrollee, available deductibles and co-pay options (including services that are not covered and benefits available for purchase at additional costs), Health Savings Account eligibility, and more.  HealthCare.gov also gives consumers the tools they need to make the best decisions for themselves and their families, like information about rate increases. HealthCare.gov also provides details about the 80-20 rule (which requires insurers to spend at least 80 cents of every dollar on customers’ health care or quality improvements to it). A Spanish language version of the website (www.cuidadodesalud.gov) was launched on September 8, 2010.  In order to ensure a robust system of monitoring and evaluation as well as government transparency and accountability, the Office of the Assistant Secretary for Planning and Evaluation has designed a Health System Tracking Project. The Health System Tracking Project is a dynamic, web-based tool that displays data on key health indicators, compiled from across federal sources, along with descriptions of the measures and links to data sources. Good metrics will allow policymakers, providers and the public to monitor changes in health care quality, cost and access and enable them to understand the effects of these changes across the health care system.  In keeping with its commitment to transparency and accountability, HHS launched a new 10-year agenda for Healthy People 2020 in December 2010. Healthy People 2020 represents the fourth generation of decade-long disease prevention and health promotion goals for the nation. Its science-based, measurable objectives benchmark the nation’s health at the beginning of the decade, set 10-year targets, and help monitor and track progress over time. Tracking data, interventions, and other resources are easily accessible at the redesigned healthypeople.gov website. HHS developed Healthy People 2020 through a collaborative process that drew on expertise and input across multiple Federal agencies, state and local governments, academia, business, community and professional organizations, and members of the public. "
DHS,Department of Homeland Security,http://www.dhs.gov,,"The Department of Homeland Security has a vital mission: to secure the nation from the many threats we face. This requires the dedication of more than 240,000 employees in jobs that range from aviation and border security to emergency response, from cybersecurity analyst to chemical facility inspector. Our duties are wide-ranging, but our goal is clear - keeping America safe.      Performance Data Verification and Validation Process  The Department recognizes the importance of collecting complete, accurate, and reliable performance data since this helps determine progress toward achieving program and Department goals and objectives.  Performance data are considered reliable if transactions and other data that support reported performance measures are properly recorded, processed, and summarized to permit the preparation of performance information in accordance with criteria stated by management.  OMB Circular A-136, Financial Reporting Requirements, OMB Circular A-11, and the Reports Consolidation Act of 2000  (P.L. No. 106-531) further delineate this responsibility by requiring agency heads to attest to the completeness and reliability of the performance data they report and put procedures in place to ensure valid data as part of the Management Assurance process.   DHS implemented a multi-pronged approach to effectively mitigate risks and reinforce processes that enhance the Department’s ability to report complete and reliable data for GPRAMA performance measure reporting.  This approach consists of the:  1) Performance Measure Definition Form (PMDF); 2) Performance Measure Checklist for Completeness and Reliability; and 3) annual assessments of the completeness and reliability of a sample of our performance measures by an independent review team.  Performance Measure Definition Form (PMDF)  The Office of the Chief Financial Officer/Program Analysis and Evaluation (CFO/PA&E) implemented a tool known as the PMDF that provides a structured format to operationally describe every measure we publicly report in our performance deliverables.  The PMDF provides instructions on completing all data fields and includes elements such as the measure name, description, scope of data included and excluded, where the data is collected and stored, a summary of the data collection and computation process, and what processes exist to double-check the accuracy of the data to ensure reliability. These data fields on the form reflect GAO’s recommended elements regarding data quality.  This information is maintained in a Department IT system, and is published annually as Appendix A to our Annual Performance Report.  The PMDF is also used as a change management tool to propose and review new measures, make changes to existing measures, and to retire measures we want to remove from our strategic and management measure sets.  GAO recently cited DHS’s thoroughness in collecting and reporting this information in their review of the quality of performance information in their report:  Managing for Results: Greater Transparency Needed in Public Reporting Quality of Performance Information for Selected Agencies’ Priority Goals (GAO-15-788).   Central Information Technology Repository for Performance Measure Information   All of DHS’s approved measures are maintained in a Department-wide system accessible to all relevant parties in DHS.  The system is a modular database which allows for the management of the Department’s performance plan and the capturing of performance results on a quarterly basis.  The system stores all historical information about each measure including specific details regarding:  scope; data source; data collection methodology; and explanation of data reliability check.  The data in the system is then used as the source for all quarterly and annual Performance and Accountability Reporting.  Finally, the performance data in the FYHSP System is used to populate the Department’s business intelligence tools to provide real-time information.    Performance Measure Checklist for Completeness and Reliability  The Performance Measure Checklist for Completeness and Reliability is a means for Component Performance Improvement Officers (PIOs) to attest to the quality of the information they are providing in our performance and accountability reports. Using the Checklist, Components self-evaluate key controls over GPRAMA performance measure planning and reporting actions at the end of each fiscal year. Components describe their control activities and provide a rating regarding their level of compliance and actions taken for each key control.  Components also factor the results of any internal or independent measure assessments into their rating.  The Checklist supports the Component Head assurance statements attesting to the completeness and reliability of performance data.  Individual Component Head assurance statements serve as the primary basis for the Secretary’s assertion whether or not the Department has effective controls over financial and performance reporting as well as efficiencies of our operations.  Independent Assessment of the Completeness and Reliability of Performance Measure Data  CFO/PA&E conducts an assessment of performance measure data for completeness and reliability on a subset of its performance measures annually using an independent review team.  An independent review team assesses selected Component GPRAMA measures using the methodology prescribed in the DHS Performance Measure Verification and Validation Handbook, documents their findings, makes recommendations for improvement, and may perform a subsequent follow-up review to observe the implementation of recommendations.  Corrective actions are required for performance measures determined to be unreliable.  The Handbook is distributed and made available to all Components to encourage the development and maturation of internal data verification and validation capabilities, increase transparency, and facilitate the review process.  The results obtained from the independent assessments are also used to support Component Head assertions over the reliability of its performance information reported in the Performance Measure Checklist and Component Head Assurance Statement.  DHS has shared our process with other Agencies in support of their measure data verification and validation improvement efforts.  Management Assurance Process for GPRAMA Performance Measure Information  The Management Assurance Process requires all Component Heads in DHS to assert that performance measure data reported in the Department’s Performance and Accountability Reports are complete and reliable.  If a measure is considered unreliable, the Component is directed to report the measure on the Performance Measure Checklist for Completeness and Reliability along with the corrective actions the Component is taking to correct the measure’s reliability.    "
HUD,Department of Housing and Urban Development,http://www.hud.gov,," In 1965, the United States Congress established the Department of Housing and Urban Development (HUD) as an Executive, Cabinet-level agency, to:   	Foster the orderly growth and development of the nation's urban areas; 	Coordinate Federal activities affecting housing and urban development; 	Provide technical assistance and information to aid state, county, town, or other local governments in developing solutions to community and metropolitan development problems; 	Encourage effective regional cooperation in the planning and conduct of community and metropolitan development programs and projects; 	Encourage and develop the fullest cooperation with private enterprise in achieving the objectives of the Department; and 	Conduct continuing comprehensive studies, and make available findings, with respect to the problems of housing and urban development   The Department accomplishes its mission through component organizations and offices that administer various programs, which are carried out through a network of regional offices and smaller field offices, as well as through grantees, contractors, and other business partners.  HUD program areas include:   	The Office of Housing -- Federal Housing Administration (Housing/FHA) 	The Government National Mortgage Association (Ginnie Mae) 	The Office of Public and Indian Housing (PIH) 	The Office of Community Planning and Development (CPD) 	The Office of Fair Housing and Equal Opportunity (FHEO) 	The Office of Lead Hazard Control and Healthy Homes (OLHCHH) 	The Center for Faith-Based and Neighborhood Partnerships (CFBNP)   In addition to these program organizations, HUD has a number of key support organizations.  One of these support organizations plays a unique role in the formulation of policy and program design -- the Office of Policy Development and Research.  This Office is responsible for maintaining current information on housing needs, market conditions, and existing programs, as well as conducting research on priority housing and community development issues.  The Office also provides objective program evaluation, data, and analysis to inform policy decisions and improve program results.  The FY 2010 establishment of three new offices within the Office of the Deputy Secretary -- the Office of Sustainable Housing and Communities, the Office of Strategic Planning and Management, and the Office of the Chief Operating Officer -- will help guide fundamental changes throughout the Department that will promote a greater focus on the nation's needs and better results in our key areas.  The Office of Sustainable Housing and Communities manages HUD's relationships with other Cabinet agencies and provides communities with the support they need to ensure housing, transportation, energy, and "green" building investments are working together to build strong neighborhoods.  The Office of Strategic Planning and Management facilitates and manages HUD's strategic planning and performance measurement process and oversees HUD's FY 2009 Recovery Act programs with $13.6 billion in funding.  HUD's new Office of the Chief Operating Officer will provide leadership and a comprehensive strategy for HUD's operations, including procurement, human resources, and information technology with direct oversight from the Deputy Secretary.  HUD develops a 5-year strategic plan, as well as an annual performance plan and annual report on our progress. As part of developing the 2011 Budget and performance plan, HUD has also identified a limited number of high priority performance goals that are a focus from 2010 through mid 2012. These goals are a subset of those used to regularly monitor and report performance. To view the full set of performance information please visit:http://portal.hud.gov/hudportal/HUD?src=/program_offices/cfo/reports/cforept     ""In 1965, the United States Congress established the Department of Housing and Urban Development (HUD) as an Executive, Cabinet-level agency, to:   	Foster the orderly growth and development of the nation's urban areas; 	Coordinate Federal activities affecting housing and urban development; 	Provide technical assistance and information to aid state, county, town, or other local governments in developing solutions to community and metropolitan development problems; 	Encourage effective regional cooperation in the planning and conduct of community and metropolitan development programs and projects; 	Encourage and develop the fullest cooperation with private enterprise in achieving the objectives of the Department; and 	Conduct continuing comprehensive studies, and make available findings, with respect to the problems of housing and urban development   The Department accomplishes its mission through component organizations and offices that administer various programs, which are carried out through a network of regional offices and smaller fi"
DOI,Department of the Interior,http://www.doi.gov,,"The Department has identified a limited number of high priority performance goals that are providing a focus over FY 2014 and FY 2015 to help pursue priorities issued by the Secretary of the Interior.  These priority goals are commensurate with the range of goals that are defined in the Departments FY 2014-2018 Strategic Plan. The Strategic Plan defines six Mission Areas with 19 Goals, and corresponding Management Initiatives with five Goals, as follows:     Mission Area 1: Provide Natural and Cultural Resource Protection and Experiences              Goal 1:  Protect America's Landscapes              Goal 2:  Protect America's Cultural and Heritage Resources              Goal 3:  Provide Recreation and Visitor Experience     Mission Area 2:  Strengthen Tribal Nations and Insular Communities              Goal 1:  Meet Our Trust, Treaty, and Other Responsibilities to American Indians and Alaska Natives              Goal 2:  Improve the Quality of Life in Tribal and Native Communities              Goal 3:  Empower Insular Communities     Mission Area 3:  Powering Our Future and Responsible Use of the Nation's Resources              Goal 1:  Secure America's Energy Resources              Goal 2:  Sustainably Manage Timber, Forage, and Non-Energy Minerals     Mission Area 4:  Engaging the Next Generation               Goal 1:  Create New, Systemic Opportunities for Outdoor Play               Goal 2:  Provide Educational Opportunities               Goal 3:  Provide Volunteers on Public Lands               Goal 4:  Develop the Next Generation of Lifelong Conservation Stewards and Ensure Our Own Skilled and Diverse Workforce Pipeline     Mission Area 5:  Ensuring Healthy Watersheds and Sustainable, Secure Water Supplies               Goal 1:  Manage Water and Watersheds for the 21st Century               Goal 2:  Extend Water Supplies Through Conservation               Goal 3:  Availability of Water to Tribal Communities     Mission Area 6:  Building a Landscape-Level Understanding of our Resources              Goal 1:  Provide Shared Landscape-Level Management and Planning Tools                    Goal 2:  Provide Science to Understand, Model and Predict Ecosystem, Climate and Land Use Change              Goal 3:  Provide Scientific Data to Protect, Instruct, and Inform Communities              Goal 4:  Provide Water and Land Data to Customers     Management Initiatives: Building a 21st Century Department the Interior              Goal 1:  Build a 21st Century Workforce              Goal 2:  Sustainability of Interiors Operations              Goal 3:  Dependability and Efficiency of Information Technology              Goal 4:  Improve Acquisition and Real Property Management              Goal 5:  Promote Small and Disadvantaged Business     To view the complete Strategic Plan, with corresponding missions, goals, and performance measures, including the high priority goals, please visit: http://www.doi.gov/bpp/upload/DOI-Strategic-Plan-for-FY-2014-2018-POSTED-ON-WEBSITE.pdf. "
