"capnhq.gov","https://www.capnhq.gov","executive","Civil Air Patrol","No","Yes","Yes","No","","B"
"cbca.gov","http://cbca.gov","executive","General Services Administration","No","No","","","",""
"cbo.gov","https://www.cbo.gov","legislative","The Legislative Branch (Congress)","No","Yes","Yes","No","","A"
"cbonews.gov","http://www.cbonews.gov","legislative","The Legislative Branch (Congress)","No","No","","","",""
"cbp.gov","https://www.cbp.gov","executive","Department of Commerce","No","Yes","Yes","No","","A"
"ccac.gov","https://www.ccac.gov","executive","Department of the Treasury","No","Yes","Yes","Yes","Ready","A+"
"cdc.gov","http://www.cdc.gov","executive","Department of Health And Human Services","No","Yes","No","No","","A"
"cdfifund.gov","https://www.cdfifund.gov","executive","Department of the Treasury","No","Yes","Yes","No","","B"
"cebaf.gov","http://www.cebaf.gov","executive","Department of Energy","Yes","No","","","",""
"cecc.gov","http://www.cecc.gov","legislative","The Legislative Branch (Congress)","No","Yes","No","No","","A"
"cendi.gov","https://cendi.gov","executive","Department of Energy","No","Yes","Yes","No","","B"
"census.gov","http://census.gov","executive","Department of Commerce","No","No","","","",""
"cep.gov","https://cep.gov","executive","Department of Commerce","No","Yes","Yes","Yes","","A+"
"cfa.gov","https://www.cfa.gov","executive","U.S. Commission of Fine Arts","No","Yes","Yes","Yes","Yes","A+"
"cfda.gov","https://cfda.gov","executive","General Services Administration","No","Yes","Yes","Yes","Ready","A+"
"cfo.gov","http://cfo.gov","executive","General Services Administration","No","Yes","No","Yes","Yes",""
"cfoc.gov","http://www.cfoc.gov","executive","General Services Administration","Yes","No","","","",""
"cfpa.gov","http://www.cfpa.gov","executive","Consumer Financial Protection Bureau","Yes","No","","","",""
"cfpb.gov","http://www.cfpb.gov","executive","Consumer Financial Protection Bureau","Yes","No","","","",""
"cftc.gov","http://www.cftc.gov","executive","Commodity Futures Trading Commission","No","No","","","",""
"challenge.gov","https://www.challenge.gov","executive","General Services Administration","No","Yes","Yes","No","","A+"
"challenges.gov","http://www.challenges.gov","executive","General Services Administration","Yes","No","","","",""
"changeofaddress.gov","http://www.changeofaddress.gov","executive","U. S. Postal Service","Yes","No","","","",""
"chcoc.gov","https://chcoc.gov","executive","Office of Personnel Management","No","Yes","Yes","Yes","","A"
"chemsafety.gov","http://www.chemsafety.gov","executive","U.S. Chemical Safety and Hazard Investigation Board","Yes","No","","","",""
"childreninadversity.gov","https://www.childreninadversity.gov","executive","U.S. Agency for International Development","No","Yes","Yes","Yes","Yes","A"
"childstats.gov","http://www.childstats.gov","executive","Department of Education","No","No","","","",""
"childwelfare.gov","https://childwelfare.gov","executive","Department of Health And Human Services","No","Yes","Yes","No","","A"
"chinacommission.gov","http://chinacommission.gov","legislative","The Legislative Branch (Congress)","No","Yes","No","No","","C"
"choosemyplate.gov","https://www.choosemyplate.gov","executive","Department of Agriculture","No","Yes","Yes","No","","A"
"christophercolumbusfoundation.gov","https://www.christophercolumbusfoundation.gov","executive","Christopher Columbus Fellowship Foundation","No","Yes","Yes","Yes","Ready","A+"
"cia.gov","https://www.cia.gov","executive","Central Intelligence Agency","No","Yes","Yes","No","","A"
"cio.gov","http://cio.gov","executive","General Services Administration","No","Yes","No","Yes","Yes",""
"ciso.gov","http://www.ciso.gov","executive","Executive Office of the President","Yes","No","","","",""
"citizencorps.gov","https://www.citizencorps.gov","executive","Department of Homeland Security","Yes","Yes","Yes","No","","A"
"citizenscience.gov","https://www.citizenscience.gov","executive","General Services Administration","No","Yes","Yes","Yes","Yes","A+"
"civilrightsusa.gov","http://www.civilrightsusa.gov","executive","Department of Commerce","Yes","No","","","",""
"cjis.gov","https://www.cjis.gov","executive","Department of Justice","No","Yes","Yes","No","","A-"
"climate.gov","https://www.climate.gov","executive","Department of Commerce","No","Yes","Yes","No","","A+"
"clinicaltrials.gov","https://clinicaltrials.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","Ready","A+"
"clintonlibrary.gov","https://www.clintonlibrary.gov","executive","National Archives and Records Administration","No","No","","","",""
"cloud.gov","https://cloud.gov","executive","General Services Administration","No","Yes","Yes","Yes","Yes","A+"
"cms.gov","https://www.cms.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","","A+"
"cmts.gov","http://www.cmts.gov","executive","Department of Defense","No","No","","","",""
"cncs.gov","http://www.cncs.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"cncsoig.gov","http://www.cncsoig.gov","executive","Corporation for National & Community Service","No","Yes","No","Yes","","A"
"cns.gov","http://www.cns.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"cnss.gov","https://www.cnss.gov","executive","Department of Defense","No","Yes","Yes","No","","T"
"coastalamerica.gov","http://coastalamerica.gov","executive","Department of Agriculture","No","Yes","No","No","","A"
"code.gov","http://code.gov","executive","Executive Office of the President","No","Yes","No","No","",""
"collegedrinkingprevention.gov","https://www.collegedrinkingprevention.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","","A+"
"collegenavigator.gov","http://www.collegenavigator.gov","executive","Department of Education","Yes","No","","","",""
"commerce.gov","https://www.commerce.gov","executive","Department of Commerce","No","Yes","Yes","Yes","",""
"complaintreferralexpress.gov","https://www.complaintreferralexpress.gov","executive","Department of the Treasury","No","Yes","Yes","No","","C"
"compliance.gov","http://compliance.gov","legislative","Congressional Office of Compliance","No","Yes","No","No","","A"
"comptrollerofthecurrency.gov","http://comptrollerofthecurrency.gov","executive","Department of the Treasury","No","Yes","No","Yes","","A-"
"computers4learning.gov","http://www.computers4learning.gov","executive","General Services Administration","Yes","No","","","",""
"computersforlearning.gov","http://computersforlearning.gov","executive","General Services Administration","No","Yes","No","No","","B"
"congress.gov","https://congress.gov","legislative","Library of Congress","No","Yes","Yes","No","","A"
"congressionaldirectory.gov","https://www.congressionaldirectory.gov","legislative","Government Publishing Office","Yes","Yes","Yes","Yes","","B"
"congressionalrecord.gov","https://www.congressionalrecord.gov","legislative","Government Publishing Office","Yes","Yes","Yes","Yes","","B"
"connect.gov","http://www.connect.gov","executive","General Services Administration","Yes","No","","","",""
"consumer.gov","https://www.consumer.gov","executive","Federal Trade Commission","No","Yes","Yes","Yes","Yes","A+"
"consumeraction.gov","http://www.consumeraction.gov","executive","General Services Administration","Yes","Yes","Yes","No","","A"
"consumerbureau.gov","http://www.consumerbureau.gov","executive","Consumer Financial Protection Bureau","Yes","No","","","",""
"consumerfinance.gov","http://www.consumerfinance.gov","executive","Consumer Financial Protection Bureau","No","No","","","",""
"consumerfinancial.gov","http://www.consumerfinancial.gov","executive","Consumer Financial Protection Bureau","Yes","No","","","",""
"consumerfinancialprotectionbureau.gov","http://www.consumerfinancialprotectionbureau.gov","executive","Consumer Financial Protection Bureau","Yes","No","","","",""
"consumerprotection.gov","http://www.consumerprotection.gov","executive","Consumer Financial Protection Bureau","Yes","No","","","",""
"consumerprotectionbureau.gov","http://www.consumerprotectionbureau.gov","executive","Consumer Financial Protection Bureau","Yes","No","","","",""
"consumidor.gov","https://www.consumidor.gov","executive","Federal Trade Commission","No","Yes","Yes","Yes","Yes","A+"
"continentalshelf.gov","https://www.continentalshelf.gov","executive","Department of State","No","Yes","Yes","No","","A"
"contractdirectory.gov","https://www.contractdirectory.gov","executive","General Services Administration","No","Yes","Yes","No","","A-"
"copyright.gov","https://copyright.gov","legislative","Library of Congress","No","Yes","Yes","No","","A"
"coralreef.gov","http://www.coralreef.gov","executive","Department of the Interior","No","No","","","",""
"cpars.gov","https://www.cpars.gov","executive","General Services Administration","No","Yes","Yes","No","","C"
"cpnireporting.gov","https://www.cpnireporting.gov","executive","Department of Homeland Security","No","Yes","Yes","No","","A"
"cpsc.gov","https://cpsc.gov","executive","Consumer Product Safety Commission","No","Yes","Yes","Yes","","A+"
"crimesolutions.gov","https://www.crimesolutions.gov","executive","Department of Justice","No","No","","","",""
"crimevictims.gov","http://www.crimevictims.gov","executive","Department of Justice","No","No","","","",""
"crt2014-2024review.gov","https://crt2014-2024review.gov","executive","Department of Energy","No","Yes","Yes","Yes","Ready","A-"
"csb.gov","http://www.csb.gov","executive","U.S. Chemical Safety and Hazard Investigation Board","No","No","","","",""
"csce.gov","https://www.csce.gov","legislative","The Legislative Branch (Congress)","No","Yes","Yes","No","","A"
"csosa.fed.us","http://www.csosa.fed.us","executive","Court Services and Offender Supervision","No","No","","","",""
"csosa.gov","http://www.csosa.gov","executive","Court Services and Offender Supervision","No","No","","","",""
"ctoc.gov","http://www.ctoc.gov","executive","Department of Defense","Yes","No","","","",""
"cttso.gov","http://cttso.gov","executive","Department of Defense","No","No","","","",""
"cuidadodesalud.gov","https://www.cuidadodesalud.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","","A+"
"cupcao.gov","http://www.cupcao.gov","executive","Department of the Interior","No","No","","","",""
"cwc.gov","http://www.cwc.gov","executive","Department of State","No","No","","","",""
"cyber.gov","http://www.cyber.gov","executive","Executive Office of the President","Yes","No","","","",""
"cybercareers.gov","http://cybercareers.gov","executive","Office of Personnel Management","Yes","Yes","No","No","","A"
"cybercrime.gov","http://www.cybercrime.gov","executive","Department of Justice","Yes","Yes","Yes","Yes","Ready","B"
"cybersecurity.gov","http://www.cybersecurity.gov","executive","Executive Office of the President","Yes","No","","","",""
"data.gov","https://www.data.gov","executive","General Services Administration","No","Yes","Yes","Yes","","A+"
"dc3on.gov","http://dc3on.gov","executive","Department of Defense","Yes","No","","","",""
"dea.gov","https://www.dea.gov","executive","Department of Justice","No","Yes","Yes","Yes","","A+"
"deadiversion.gov","http://deadiversion.gov","executive","Department of Justice","Yes","No","","","",""
"deaecom.gov","https://www.deaecom.gov","executive","Department of Justice","No","Yes","Yes","Yes","","A-"
"defense.gov","http://www.defense.gov","executive","Department of Defense","No","No","","","",""
"democraticleader.gov","http://www.democraticleader.gov","legislative","The Legislative Branch (Congress)","No","Yes","No","No","","A"
"democraticwhip.gov","http://www.democraticwhip.gov","legislative","The Legislative Branch (Congress)","No","Yes","No","No","","A"
"dems.gov","http://www.dems.gov","legislative","The Legislative Branch (Congress)","No","Yes","No","No","","A"
"denali.gov","http://denali.gov","executive","Denali Commission","No","Yes","No","No","",""
"dfafacts.gov","http://dfafacts.gov","executive","U.S. Agency for International Development","No","No","","","",""
"dhhs.gov","http://www.dhhs.gov","executive","Department of Health And Human Services","Yes","Yes","Yes","No","","A"
"dhs.gov","https://www.dhs.gov","executive","Department of Homeland Security","No","Yes","Yes","No","","A"
"diabetescommittee.gov","https://www.diabetescommittee.gov","executive","Department of Health And Human Services","Yes","Yes","Yes","No","","A"
"dietaryguidelines.gov","http://www.dietaryguidelines.gov","executive","Department of Agriculture","Yes","No","","","",""
"digitalgov.gov","https://www.digitalgov.gov","executive","General Services Administration","No","Yes","Yes","Yes","","A+"
"digitalliteracy.gov","http://www.digitalliteracy.gov","executive","Department of Commerce","No","No","","","",""
"digitalpreservation.gov","http://digitalpreservation.gov","legislative","Library of Congress","No","No","","","",""
"digitizationguidelines.gov","http://digitizationguidelines.gov","legislative","Library of Congress","No","No","","","",""
"directoasucuenta.gov","https://www.directoasucuenta.gov","executive","Department of the Treasury","No","Yes","Yes","No","","A-"
"disability.gov","https://www.disability.gov","executive","Department of Labor","No","Yes","Yes","No","","A-"
"disasterassistance.gov","https://www.disasterassistance.gov","executive","Department of Homeland Security","No","Yes","Yes","No","","A"
"disasterhousing.gov","http://disasterhousing.gov","executive","Department of Housing And Urban Development","No","No","","","",""
"distracteddriving.gov","http://www.distracteddriving.gov","executive","Department of Transportation","No","Yes","No","No","","A"
"distraction.gov","http://www.distraction.gov","executive","Department of Transportation","No","Yes","No","No","","A"
"dnfsb.gov","http://www.dnfsb.gov","executive","Defense Nuclear Facilities Safety Board","No","No","","","",""
"dni.gov","https://www.dni.gov","executive","Director of National Intelligence","No","Yes","Yes","No","","A"
"dnsops.gov","https://dnsops.gov","executive","Department of Commerce","No","Yes","Yes","Yes","",""
"doc.gov","http://www.doc.gov","executive","Department of Commerce","Yes","No","","","",""
"docline.gov","https://www.docline.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","","A+"
"dod.gov","http://www.dod.gov","executive","Department of Defense","No","No","","","",""
"doe.gov","http://www.doe.gov","executive","Department of Energy","Yes","No","","","",""
"doi.gov","https://www.doi.gov","executive","Department of the Interior","No","Yes","Yes","Yes","","A+"
"doioig.gov","https://www.doioig.gov","executive","Department of the Interior","No","Yes","Yes","Yes","","A+"
"dol.gov","https://www.dol.gov","executive","Department of Labor","No","Yes","Yes","No","","A"
"doleta.gov","https://doleta.gov","executive","Department of Labor","No","Yes","Yes","Yes","Yes","A+"
"donaciondeorganos.gov","http://www.donaciondeorganos.gov","executive","Department of Health And Human Services","No","No","","","",""
"donotcall.gov","https://donotcall.gov","executive","Federal Trade Commission","No","Yes","Yes","Yes","Yes","A+"
"dontserveteens.gov","http://www.dontserveteens.gov","executive","Federal Trade Commission","Yes","No","","","",""
"dot.gov","https://www.dot.gov","executive","Department of Transportation","Yes","Yes","Yes","No","","A"
"dotgov.gov","https://www.dotgov.gov","executive","General Services Administration","No","Yes","Yes","No","","B"
"dotideahub.gov","https://www.dotideahub.gov","executive","Department of Transportation","Yes","Yes","Yes","No","","A"
"dottrafficrecords.gov","http://www.dottrafficrecords.gov","executive","Department of Transportation","Yes","No","","","",""
"dra.gov","http://dra.gov","executive","Delta Regional Authority","No","No","","","",""
"drought.gov","https://www.drought.gov","executive","Department of Commerce","No","Yes","Yes","No","",""
"drugabuse.gov","https://www.drugabuse.gov","executive","Department of Health And Human Services","No","Yes","Yes","Yes","","A+"
"drywallresponse.gov","http://www.drywallresponse.gov","executive","Consumer Product Safety Commission","Yes","No","","","",""
"dsac.gov","https://www.dsac.gov","executive","Department of Justice","No","Yes","Yes","Yes","","A+"
"dtv.gov","http://www.dtv.gov","executive","Federal Communications Commission","Yes","No","","","",""
"e-enterprise.gov","http://www.e-enterprise.gov","executive","Environmental Protection Agency","Yes","No","","","",""
"eac.gov","https://www.eac.gov","executive","General Services Administration","No","Yes","Yes","No","","B"
"eaglecash.gov","http://www.eaglecash.gov","executive","Department of the Treasury","Yes","No","","","",""
"earmarks.gov","http://www.earmarks.gov","executive","Executive Office of the President","Yes","Yes","No","Yes","Yes",""
"earthquake.gov","http://www.earthquake.gov","executive","Department of the Interior","Yes","No","","","",""
"ecfr.gov","http://www.ecfr.gov","legislative","Government Publishing Office","No","No","","","",""
"economicinclusion.gov","https://economicinclusion.gov","executive","Federal Deposit Insurance Corporation","No","Yes","Yes","Yes","","A-"
"econsumer.gov","https://econsumer.gov","executive","Federal Trade Commission","No","Yes","Yes","Yes","Yes","B"
"ecopartnerships.gov","http://ecopartnerships.gov","executive","Department of State","No","No","","","",""
"ecpic.gov","https://www.ecpic.gov","executive","General Services Administration","No","Yes","Yes","Yes","","A+"
"ecr.gov","http://www.ecr.gov","executive","Morris K. Udall Foundation","Yes","Yes","No","No","","A"
"ed.gov","http://ed.gov","executive","Department of Education","No","No","","","",""
"eda.gov","https://eda.gov","executive","Department of Commerce","No","Yes","Yes","No","",""
"edison.gov","http://www.edison.gov","executive","Department of Health And Human Services","Yes","Yes","Yes","Yes","","A+"
"edpubs.gov","https://edpubs.gov","executive","Department of Education","No","Yes","Yes","Yes","Yes","A"
"education.gov","http://education.gov","executive","Department of Education","No","No","","","",""
"eeoc.gov","https://www.eeoc.gov","executive","Equal Employment Opportunity Commission","No","Yes","Yes","No","","A-"
"eftps.gov","https://www.eftps.gov","executive","Department of the Treasury","No","Yes","Yes","No","","A+"
"egov.gov","http://www.egov.gov","executive","Executive Office of the President","Yes","Yes","No","No","","A"
