"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"bankcustomerassistance.gov","bankcustomerassistance.gov","https://bankcustomerassistance.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bankhelp.gov","bankhelp.gov","https://bankhelp.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"banknet.gov","banknet.gov","https://banknet.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bankruptcy.gov","bankruptcy.gov","http://www.bankruptcy.gov","U.S. Courts","dotgov","No","No","No","","","","","","No"
"bats.gov","bats.gov","https://www.bats.gov","Department of Justice","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"bbg.gov","bbg.gov","https://www.bbg.gov","Broadcasting Board of Governors","dotgov","No","Yes","Yes","No","Yes","No","No","No","Ready"
"bcfp.gov","bcfp.gov","https://bcfp.gov","Consumer Financial Protection Bureau","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"bea.gov","bea.gov","https://bea.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"befoodsafe.gov","befoodsafe.gov","https://befoodsafe.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"benefits.gov","benefits.gov","https://benefits.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bep.gov","bep.gov","https://bep.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"betobaccofree.gov","betobaccofree.gov","https://betobaccofree.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bfem.gov","bfem.gov","https://bfem.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bia.gov","bia.gov","https://www.bia.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bioethics.gov","bioethics.gov","http://bioethics.gov","Department of Health and Human Services","dotgov","","","","","","","","","No"
"biomassboard.gov","biomassboard.gov","http://biomassboard.gov","Department of Energy","dotgov","No","No","Yes","No","Yes","No","No","No","Ready"
"biometriccoe.gov","biometriccoe.gov","http://biometriccoe.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"biometrics.gov","biometrics.gov","https://biometrics.gov","Department of Homeland Security","dotgov","No","No","No","","","","","","No"
"biopreferred.gov","biopreferred.gov","https://www.biopreferred.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bja.gov","bja.gov","https://www.bja.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bjs.gov","bjs.gov","https://bjs.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bldrdoc.gov","bldrdoc.gov","http://bldrdoc.gov","Department of Commerce","dotgov","","","","","","","","","No"
"blm.gov","blm.gov","https://www.blm.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"bls.gov","bls.gov","https://www.bls.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bnl.gov","bnl.gov","https://www.bnl.gov","Department of Energy","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"boem.gov","boem.gov","https://www.boem.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"boemre.gov","boemre.gov","http://boemre.gov","Department of the Interior","dotgov","","","","","","","","","No"
"bondpro.gov","bondpro.gov","https://bondpro.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bop.gov","bop.gov","https://www.bop.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bosque.gov","bosque.gov","https://bosque.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bpa.gov","bpa.gov","https://www.bpa.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"brac.gov","brac.gov","http://brac.gov","Department of Defense","dotgov","No","No","No","No","Yes","No","No","No","No"
"brainhealth.gov","brainhealth.gov","http://brainhealth.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"broadband.gov","broadband.gov","http://broadband.gov","Federal Communications Commission","dotgov","No","No","No","","","","","","No"
"broadbandmap.gov","broadbandmap.gov","https://www.broadbandmap.gov","Federal Communications Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsee.gov","bsee.gov","https://www.bsee.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"bts.gov","bts.gov","https://www.bts.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"budget.gov","budget.gov","https://budget.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"budgetlob.gov","budgetlob.gov","https://budgetlob.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"buildingamerica.gov","buildingamerica.gov","http://buildingamerica.gov","Department of Energy","dotgov","No","No","No","","","","","","No"
"business.gov","business.gov","http://business.gov","Small Business Administration","dotgov","No","No","No","","","","","","No"
"businessdefense.gov","businessdefense.gov","http://www.businessdefense.gov","Department of Defense","dotgov","No","No","No","","","","","","No"
"businessusa.gov","businessusa.gov","https://businessusa.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"buyaccessible.gov","buyaccessible.gov","https://buyaccessible.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"buyusa.gov","buyusa.gov","https://buyusa.gov","Department of Commerce","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"campusdrugprevention.gov","campusdrugprevention.gov","https://www.campusdrugprevention.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cancer.gov","cancer.gov","https://www.cancer.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cancernet.gov","cancernet.gov","http://cancernet.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"cao.gov","cao.gov","https://cao.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cap.gov","cap.gov","http://cap.gov","Civil Air Patrol","dotgov","","","","","","","","","No"
"capnhq.gov","capnhq.gov","https://www.capnhq.gov","Civil Air Patrol","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"casl.gov","casl.gov","https://www.casl.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cavc.gov","cavc.gov","http://cavc.gov","U.S. Courts","dotgov","","","","","","","","","No"
"cbca.gov","cbca.gov","http://cbca.gov","General Services Administration","dotgov","No","No","No","","","","","","No"
"cbo.gov","cbo.gov","https://cbo.gov","The Legislative Branch","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"cbonews.gov","cbonews.gov","http://www.cbonews.gov","The Legislative Branch","dotgov","No","No","No","","","","","","No"
"cbp.gov","cbp.gov","https://www.cbp.gov","Department of Homeland Security","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ccac.gov","ccac.gov","https://www.ccac.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cdc.gov","cdc.gov","https://www.cdc.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cdcpartners.gov","cdcpartners.gov","http://www.cdcpartners.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","Yes"
"cdfifund.gov","cdfifund.gov","https://www.cdfifund.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cebaf.gov","cebaf.gov","http://cebaf.gov","Department of Energy","dotgov","No","No","No","","","","","","No"
"cecc.gov","cecc.gov","https://www.cecc.gov","The Legislative Branch","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cendi.gov","cendi.gov","https://cendi.gov","Department of Energy","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"census.gov","census.gov","https://census.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cep.gov","cep.gov","https://cep.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cerebrosano.gov","cerebrosano.gov","http://cerebrosano.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cfa.gov","cfa.gov","https://www.cfa.gov","U.S. Commission of Fine Arts","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cfda.gov","cfda.gov","https://cfda.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cfo.gov","cfo.gov","https://cfo.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cfoc.gov","cfoc.gov","http://www.cfoc.gov","General Services Administration","dotgov","No","No","No","","","","","","No"
"cfpa.gov","cfpa.gov","https://cfpa.gov","Consumer Financial Protection Bureau","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"cfpb.gov","cfpb.gov","https://cfpb.gov","Consumer Financial Protection Bureau","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"cftc.gov","cftc.gov","https://cftc.gov","Commodity Futures Trading Commission","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"challenge.gov","challenge.gov","https://www.challenge.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"challenges.gov","challenges.gov","https://challenges.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"chcoc.gov","chcoc.gov","https://chcoc.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"childcare.gov","childcare.gov","https://childcare.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"childreninadversity.gov","childreninadversity.gov","https://www.childreninadversity.gov","U.S. Agency for International Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"childstats.gov","childstats.gov","https://www.childstats.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"childwelfare.gov","childwelfare.gov","https://childwelfare.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"chinacommission.gov","chinacommission.gov","https://chinacommission.gov","The Legislative Branch","dotgov","No","Yes","No","No","Yes","Yes","No","No","No"
"choosemyplate.gov","choosemyplate.gov","https://www.choosemyplate.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cia.gov","cia.gov","https://www.cia.gov","Central Intelligence Agency","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"cigie.gov","cigie.gov","http://cigie.gov","Council of Inspectors General on Integrity and Efficiency","dotgov","","","","","","","","","No"
"cio.gov","cio.gov","https://www.cio.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"citizenscience.gov","citizenscience.gov","https://www.citizenscience.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cjis.gov","cjis.gov","https://www.cjis.gov","Department of Justice","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"climate.gov","climate.gov","https://www.climate.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"clinicaltrial.gov","clinicaltrial.gov","http://clinicaltrial.gov","Department of Health and Human Services","dotgov","","","","","","","","","No"
"clinicaltrials.gov","clinicaltrials.gov","https://clinicaltrials.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"clintonlibrary.gov","clintonlibrary.gov","https://www.clintonlibrary.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cloud.gov","cloud.gov","https://cloud.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"cms.gov","cms.gov","https://www.cms.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cmts.gov","cmts.gov","https://www.cmts.gov","Department of Defense","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"cncs.gov","cncs.gov","http://cncs.gov","Corporation for National & Community Service","dotgov","No","No","No","","","","","","No"
"cncsoig.gov","cncsoig.gov","https://www.cncsoig.gov","Corporation for National & Community Service","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cns.gov","cns.gov","http://cns.gov","Corporation for National & Community Service","dotgov","No","No","No","","","","","","No"
"cnss.gov","cnss.gov","https://www.cnss.gov","Department of Defense","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"code.gov","code.gov","https://code.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"collegedrinkingprevention.gov","collegedrinkingprevention.gov","https://www.collegedrinkingprevention.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"collegenavigator.gov","collegenavigator.gov","https://collegenavigator.gov","Department of Education","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"commerce.gov","commerce.gov","https://www.commerce.gov","Department of Commerce","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"complaintreferralexpress.gov","complaintreferralexpress.gov","https://www.complaintreferralexpress.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"comptrollerofthecurrency.gov","comptrollerofthecurrency.gov","https://comptrollerofthecurrency.gov","Department of the Treasury","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"computersforlearning.gov","computersforlearning.gov","https://computersforlearning.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"connect.gov","connect.gov","https://connect.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"consumer.gov","consumer.gov","https://www.consumer.gov","Federal Trade Commission","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"consumeraction.gov","consumeraction.gov","https://consumeraction.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"consumerbureau.gov","consumerbureau.gov","https://consumerbureau.gov","Consumer Financial Protection Bureau","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"consumerfinance.gov","consumerfinance.gov","https://www.consumerfinance.gov","Consumer Financial Protection Bureau","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"consumerfinancial.gov","consumerfinancial.gov","https://consumerfinancial.gov","Consumer Financial Protection Bureau","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"consumerfinancialprotectionbureau.gov","consumerfinancialprotectionbureau.gov","https://www.consumerfinancialprotectionbureau.gov","Consumer Financial Protection Bureau","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"consumerprotection.gov","consumerprotection.gov","https://consumerprotection.gov","Consumer Financial Protection Bureau","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"consumerprotectionbureau.gov","consumerprotectionbureau.gov","https://consumerprotectionbureau.gov","Consumer Financial Protection Bureau","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"consumersentinel.gov","consumersentinel.gov","https://consumersentinel.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"consumidor.gov","consumidor.gov","https://consumidor.gov","Federal Trade Commission","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"contractdirectory.gov","contractdirectory.gov","https://contractdirectory.gov","General Services Administration","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"coralreef.gov","coralreef.gov","https://coralreef.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cpars.gov","cpars.gov","https://www.cpars.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cpnireporting.gov","cpnireporting.gov","https://www.cpnireporting.gov","Department of Homeland Security","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"cpsc.gov","cpsc.gov","https://cpsc.gov","Consumer Product Safety Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"crimesolutions.gov","crimesolutions.gov","https://crimesolutions.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"crimevictims.gov","crimevictims.gov","https://crimevictims.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"crisisnextdoor.gov","crisisnextdoor.gov","https://www.crisisnextdoor.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"crt2014-2024review.gov","crt2014-2024review.gov","https://crt2014-2024review.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"csb.gov","csb.gov","https://www.csb.gov","Chemical Safety Board","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"csce.gov","csce.gov","https://www.csce.gov","The Legislative Branch","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"csosa.fed.us","csosa.fed.us","http://www.csosa.fed.us","Court Services and Offender Supervision","dotgov","No","No","No","","","","","","No"
"csosa.gov","csosa.gov","https://www.csosa.gov","Court Services and Offender Supervision","dotgov","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"ctoc.gov","ctoc.gov","http://ctoc.gov","Department of Defense","dotgov","No","No","No","","","","","","No"
"cttso.gov","cttso.gov","https://cttso.gov","Department of Defense","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"cuidadodesalud.gov","cuidadodesalud.gov","https://www.cuidadodesalud.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cupcao.gov","cupcao.gov","https://cupcao.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
